국가 (IOC 코드),하계 참가 횟수,금,은,동,계
사우디아라비아 (KSA),0,0,0,0,0
스리랑카 (SRI) [SRI],0,0,0,0,0
수단 (SUD),0,0,0,0,0
수리남 (SUR) [E],0,0,0,0,0
시리아 (SYR),0,0,0,0,0
탄자니아 (TAN) [TAN],0,0,0,0,0
튀니지 (TUN),0,0,0,0,0
우간다 (UGA),0,0,0,0,0
아랍에미리트 (UAE),0,0,0,0,0
베트남 (VIE),0,0,0,0,0
잠비아 (ZAM) [ZAM],0,0,0,0,0
독립 (IOA) [IOA],0,0,0,0,0
독립 참가 (IOP) [IOP],0,0,0,0,0
혼성 (ZZX) [ZZX],0,0,0,0,0
